Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP
"C146","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C147","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C148","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C14_OGA1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C14_OGA2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C14_OGA3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C15","LCA016","COM","ACCEL PSU INPUT FILTER","","","50","-20","27","3.3","0","3.3","","","",""
"C16","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C18","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C20","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C21","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C3","LCA016","COM","ACCEL PSU INPUT FILTER","","","50","-20","27","3.3","0","3.3","","","",""
"C5","LCA016","COM","CAN PHY 1 BYPASS","","","50","-20","27","3.3","0","3.3","","","",""
"C59","LCA016","COM","POWER IN FILTER CAP","","","50","-20","27","17","0","14","","","",""
"C6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C61","LCA016","COM","PMIC BOOT OUTPUT","","","50","-20","27","3.3","0","3.3","","","",""
"C62","LCA016","COM","PMIC 5V3 CAP","","","50","-20","27","5.3","0","5.3","","","",""
"C64","LCA016","COM","PMIC 5V CAP","","","50","-20","27","5","0","5","","","",""
"C65","LCA016","COM","PMIC 3V3 CAP","","","50","-20","27","3.3","0","3.3","","","",""
"C66","LCA016","COM","PMIC 1V2 CAP","","","50","-20","27","3.3","0","1.2","","","",""
"C67","LCA016","COM","PMIC DELAY CAP","","","50","-20","27","3.3","0","3.3","","","",""
"C68","LCA016","COM","PMIC SS CAP","","","50","-20","27","3.3","0","3.3","","","",""
"C7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C72","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C73","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C8","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C80","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C81","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C82","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C88","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C98","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C99","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
